"filename", "language", "PHP", "JavaScript", "SQL", "XML", "Markdown", "JSON", "CSS", "HTML", "YAML", "comment", "blank", "total"
"c:\xampp\htdocs\dompdf\vendor\dompdf\dompdf\src\Image\Cache.php", "PHP", 192, 0, 0, 0, 0, 0, 0, 0, 0, 62, 36, 290
"c:\xampp\htdocs\dompdf\vendor\dompdf\dompdf\src\JavascriptEmbedder.php", "PHP", 21, 0, 0, 0, 0, 0, 0, 0, 0, 24, 7, 52
"c:\xampp\htdocs\dompdf\vendor\dompdf\dompdf\src\LineBox.php", "PHP", 215, 0, 0, 0, 0, 0, 0, 0, 0, 125, 73, 413
"c:\xampp\htdocs\dompdf\vendor\dompdf\dompdf\src\Options.php", "PHP", 562, 0, 0, 0, 0, 0, 0, 0, 0, 488, 110, 1160
"c:\xampp\htdocs\dompdf\vendor\dompdf\dompdf\src\PhpEvaluator.php", "PHP", 28, 0, 0, 0, 0, 0, 0, 0, 0, 26, 9, 63
"c:\xampp\htdocs\dompdf\vendor\dompdf\dompdf\src\Positioner\Absolute.php", "PHP", 74, 0, 0, 0, 0, 0, 0, 0, 0, 41, 14, 129
"c:\xampp\htdocs\dompdf\vendor\dompdf\dompdf\src\Positioner\AbstractPositioner.php", "PHP", 21, 0, 0, 0, 0, 0, 0, 0, 0, 21, 7, 49
"c:\xampp\htdocs\dompdf\vendor\dompdf\dompdf\src\Positioner\Block.php", "PHP", 23, 0, 0, 0, 0, 0, 0, 0, 0, 10, 8, 41
"c:\xampp\htdocs\dompdf\vendor\dompdf\dompdf\src\Positioner\Fixed.php", "PHP", 66, 0, 0, 0, 0, 0, 0, 0, 0, 16, 11, 93
"c:\xampp\htdocs\dompdf\vendor\dompdf\dompdf\src\Positioner\Inline.php", "PHP", 27, 0, 0, 0, 0, 0, 0, 0, 0, 17, 9, 53
"c:\xampp\htdocs\dompdf\vendor\dompdf\dompdf\src\Positioner\ListBullet.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 0, 18, 6, 43
"c:\xampp\htdocs\dompdf\vendor\dompdf\dompdf\src\Positioner\NullPositioner.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 0, 0, 13, 4, 27
"c:\xampp\htdocs\dompdf\vendor\dompdf\dompdf\src\Positioner\TableCell.php", "PHP", 13, 0, 0, 0, 0, 0, 0, 0, 0, 13, 4, 30
"c:\xampp\htdocs\dompdf\vendor\dompdf\dompdf\src\Positioner\TableRow.php", "PHP", 17, 0, 0, 0, 0, 0, 0, 0, 0, 13, 5, 35
"c:\xampp\htdocs\dompdf\vendor\dompdf\dompdf\src\Renderer.php", "PHP", 181, 0, 0, 0, 0, 0, 0, 0, 0, 56, 55, 292
"c:\xampp\htdocs\dompdf\vendor\dompdf\dompdf\src\Renderer\AbstractRenderer.php", "PHP", 780, 0, 0, 0, 0, 0, 0, 0, 0, 289, 176, 1245
"c:\xampp\htdocs\dompdf\vendor\dompdf\dompdf\src\Renderer\Block.php", "PHP", 55, 0, 0, 0, 0, 0, 0, 0, 0, 16, 18, 89
"c:\xampp\htdocs\dompdf\vendor\dompdf\dompdf\src\Renderer\Image.php", "PHP", 62, 0, 0, 0, 0, 0, 0, 0, 0, 14, 15, 91
"c:\xampp\htdocs\dompdf\vendor\dompdf\dompdf\src\Renderer\Inline.php", "PHP", 84, 0, 0, 0, 0, 0, 0, 0, 0, 19, 24, 127
